planet_name,planet_orbit,distance
EPIC 220674823 b,0.571292,244.59
EPIC 220674823 c,13.3397,244.59
EPIC 228836835 b,0.728113,150.124
EPIC 229004835 b,16.141132,121.971
EPIC 246851721 b,6.180235,372.632
EPIC 248847494 b,3650,551.886
EPIC 249893012 b,3.5951,321.296
EPIC 249893012 c,15.624,321.296
EPIC 249893012 d,35.747,321.296
FU Tau b,,133.4950466
G 196-3 b,,21.7912
G 264-012 b,2.30538,16.009
G 264-012 c,8.0518,16.009
G 9-40 b,5.7459982,27.9276
GJ 1002 b,10.3465,4.84867
GJ 1002 c,21.202,4.84867
GJ 1061 b,3.204,3.67278
GJ 1061 c,6.689,3.67278
GJ 1061 d,13.031,3.67278
GJ 1132 b,1.62892911,12.613
GJ 1132 c,8.929,12.613
GJ 1148 b,41.38,11.0143
GJ 1148 c,532.58,11.0143
GJ 1151 c,389.7,8.03625
GJ 1214 b,1.58040453,14.6427
GJ 1252 b,0.5182331,20.373
GJ 1265 b,3.6511,10.2525
GJ 143 b,35.61253,16.32
GJ 15 A b,11.4407,3.56228
GJ 15 A c,7600,3.56228
GJ 160.2 b,5.2354,25.8557
GJ 163 b,8.63182,15.1285
GJ 163 c,25.63058,15.1285
GJ 163 d,603.95116,15.1285
GJ 179 b,2288,12.356
GJ 180 b,17.133,11.9407
GJ 180 c,24.329,11.9407
GJ 180 d,106.3,11.9407
GJ 2030 b,2.38129,37.0788
GJ 2030 c,25533.11353,37.0788
GJ 2056 b,69.971,28.4434
GJ 229 A c,121.93268,5.75624
GJ 229 b,579.47495,5.75624
GJ 238 b,1.7446999,15.2142
GJ 251 b,14.238,5.58057
GJ 27.1 b,15.819,23.6062
GJ 273 b,18.6498,5.921535
GJ 273 c,4.7234,5.921535
GJ 3021 b,133.71,17.5559
GJ 3082 b,11.949,16.6186
GJ 3090 b,2.8531054,22.4751
GJ 3138 b,1.22003,28.4712
GJ 3138 c,5.974,28.4712
GJ 3138 d,257.8,28.4712
GJ 317 b,695.66,15.1968
GJ 317 c,6739.323,15.1968
GJ 3222 b,10.66669,18.23817
GJ 328 b,3771,20.5266
GJ 328 c,241.8,20.5266
