planet_name,planet_orbit,distance
HD 178911 B b,71.484,40.9727
HD 179079 b,14.479,69.7116
HD 179949 b,3.092514,27.4573
HD 180053 b,213.72,137.043
HD 18015 b,2278,123.801
HD 180314 b,394.73,122.362
HD 180617 b,105.911,5.91059
HD 180902 b,510.9,104.577
HD 181234 b,7593.40512,47.7458
HD 181342 b,564.1,120.391
HD 18143 b,10.2851,22.5243
HD 18143 c,28982.41764,22.5243
HD 181433 b,9.3743,26.8762
HD 181433 c,962,26.8762
HD 181433 d,2172,26.8762
HD 181720 b,956,60.2046
HD 183263 b,624.87404,54.1955
HD 183263 c,4667.97841,54.1955
HD 183579 b,17.471291,57.2651
HD 184010 b,286.6,60.7993
HD 184010 c,484.3,60.7993
HD 184010 d,836.4,60.7993
HD 18438 b,803,224.146
HD 185269 b,6.83776,51.9917
HD 185283 b,4060,31.395
HD 18599 b,4.1374354,38.5653
HD 187085 b,1019.74,45.8993
HD 187123 b,3.0965828,45.9548
HD 187123 c,3810,45.9548
HD 18742 b,766,162.685
HD 188015 b,461.2,50.6706
HD 188641 b,14583.81038,64.3399
HD 189567 b,14.288,17.9055
HD 189567 c,33.688,17.9055
HD 189733 b,2.21857567,19.7638
HD 190007 b,11.724128,12.7141
HD 190228 b,1143.59858,62.7146
HD 190360 b,2854,16.0069
HD 190360 c,17.111,16.0069
HD 190647 b,1176.45,54.4738
HD 190984 b,4885,148.187
HD 191806 b,1603.38923,65.6668
HD 191939 b,8.8803256,53.6089
HD 191939 c,28.579743,53.6089
HD 191939 d,38.353037,53.6089
HD 191939 e,101.12,53.6089
HD 191939 f,2200,53.6089
HD 191939 g,284,53.6089
HD 192263 b,24.3556,19.6359
HD 192310 b,74.72,8.79687
HD 192310 c,525.8,8.79687
HD 192699 b,340.94,71.8627
HD 194490 b,13092.18348,80.2349
HD 195019 b,18.20132,37.6681
HD 196050 b,1392,50.6742
HD 196067 b,3638,39.9346
HD 19615 b,402,265.155
HD 196885 A b,1333,34.1692
HD 197037 b,1035.7,33.1944
HD 199509 b,99.62167,24.3056
HD 19994 b,466.2,22.5242
HD 20003 b,11.8482,41.8316
HD 20003 c,33.9239,41.8316
HD 200964 b,606.3,72.5922
HD 200964 c,852.5,72.5922
HD 202206 c,1260,45.9665
HD 202696 b,517.8,188.546
HD 202696 c,946.6,188.546
HD 202772 A b,3.308958,161.498
HD 203030 b,,39.2503
HD 20329 b,0.926118,63.6796
HD 203387 b,512.5352,61.7477
HD 203387 c,2481.07227,61.7477
HD 2039 b,1120,85.6922
HD 204313 b,2041.11539,47.7945
HD 204313 c,34.95875,47.7945
HD 204313 e,7325.64666,47.7945
HD 204941 b,1733,28.7165
HD 205158 b,25.33798,86.6159
HD 205739 b,279.8,92.5087
HD 206255 b,96.045,75.2363
HD 206610 b,673.2,147.192
HD 206893 b,9350,40.7583
HD 206893 c,2090,40.7583
HD 207496 b,6.441008,23.606
HD 20781 b,5.3135,35.9715
HD 20781 c,13.8905,35.9715
HD 20781 d,29.158,35.9715
HD 20781 e,85.5073,35.9715
HD 20782 b,597.0643,35.9864
HD 207832 b,160.07,58.9291
HD 207832 c,1155.7,58.9291
HD 207897 b,16.20166,28.2938
HD 20794 b,18.315,6.00278
HD 20794 c,40.114,6.00278
HD 20794 d,90.309,6.00278
HD 20794 e,147.02,6.00278
HD 208487 b,130.08,45.147
HD 208527 b,875.5,312.202
HD 20868 b,380.85001,47.7223
HD 208897 b,358.27,67.4872
HD 209458 b,3.52474859,48.3016
HD 210193 b,649.918,42.2029
HD 210277 b,442.19,21.2985
HD 210702 b,355.5,54.1963
HD 211403 b,223.8,83.0919
HD 211810 b,1558,64.6353
HD 211970 b,25.201,13.1277
HD 212301 b,2.24571,54.2304
HD 212771 b,380.7,111.155
HD 213240 b,882.70001,40.8707
HD 213472 b,17000,64.4527
HD 213519 b,11.12214,41.0014
HD 213885 b,1.008035,48.0883
HD 213885 c,4.78503,48.0883
HD 21411 b,84.288,29.1328
HD 214823 b,1854.84424,101.368
HD 215152 b,5.75999,21.5974
HD 215152 c,7.28243,21.5974
HD 215152 d,10.86499,21.5974
HD 215152 e,25.1967,21.5974
HD 21520 b,25.1292,79.208
HD 215497 b,3.93404,40.5468
HD 215497 c,566,40.5468
HD 216435 b,1311,32.9834
HD 216437 b,1359,26.6902
HD 216520 b,35.45,19.552
HD 216520 c,154.43,19.552
HD 216536 b,148.60001,376.233
HD 216770 b,118.45,36.6625
HD 21693 b,22.6786,33.255
HD 21693 c,53.7357,33.255
HD 217107 b,7.12682,20.0619
HD 217107 c,4270,20.0619
HD 21749 c,7.78993,16.32
HD 217786 b,1301.36009,55.4847
HD 217786 c,2.52221,55.4847
HD 217958 b,2560.19774,61.7957
HD 218566 b,225.7,28.8274
HD 219077 b,5478.68861,29.1864
HD 219134 b,3.092926,6.53127
HD 219134 c,6.76458,6.53127
HD 219134 d,46.859,6.53127
HD 219134 f,22.717,6.53127
HD 219134 g,94.2,6.53127
HD 219134 h,2247,6.53127
HD 219139 b,275.5,104.935
HD 219415 b,2093.3,165.184
HD 219666 b,6.04345,94.1719
HD 219828 b,3.83483,73.114
HD 219828 c,4789.87297,73.114
HD 220074 b,672.09998,324.54
HD 220197 b,1728,64.411
HD 220689 b,2266.4,46.8778
HD 220773 b,3724.7,50.5103
HD 220842 b,218.47,64.6498
HD 221287 b,456.1,55.9231
HD 221416 b,14.2767,95.5483
HD 221420 b,10066,31.1415
HD 221585 b,1173,55.8535
HD 222076 b,871,91.1538
HD 222155 b,3999,50.6078
HD 222237 b,14892,11.4469
HD 222582 b,572.38,42.1586
HD 224538 b,1202.05199,79.0608
HD 224693 b,26.6904,93.5015
HD 22496 b,5.09071,13.5956
HD 22532 b,872.6,161.183
HD 22781 b,528.07,32.6034
HD 22946 d,47.42489,62.7792
HD 23079 b,730.59998,33.4591
HD 23127 b,1211.17,93.8555
HD 231701 b,141.63,108.877
HD 233604 b,192,847.058
HD 233832 b,2058,58.742
HD 23472 b,17.667087,39.0341
HD 23472 c,29.79749,39.0341
HD 23472 d,3.97664,39.0341
HD 23472 e,7.90754,39.0341
HD 23472 f,12.1621839,39.0341
HD 235088 b,7.434151,41.1706
HD 23596 b,1535.11912,52.0018
HD 238090 b,13.671,15.2354
HD 238914 b,4100,519.452
HD 240210 b,501.75,372.405
HD 240237 b,745.70001,933.377
HD 24040 b,3668,46.6224
HD 24040 c,515.4,46.6224
HD 24064 b,535.59998,300.247
HD 24085 b,2.0455,54.9004
HD 25015 b,6134.427,37.433
HD 25171 b,1802.29,55.6146
HD 25463 b,7.0491423,45.6181
HD 25463 c,3.04405,45.6181
HD 25723 b,457.01,114.816
HD 25912 b,41.83156,49.1661
HD 25912 c,26308.65619,49.1661
HD 260655 b,2.76953,10.0055
HD 260655 c,5.70588,10.0055
HD 26161 b,10942.29013,40.9128
HD 2638 b,3.4442,54.9621
HD 2685 b,4.12688,196.852
HD 27442 b,428.1,18.2704
HD 27631 b,2198.14,50.2862
HD 27894 b,18.01939,43.8214
HD 27894 c,36.07,43.8214
HD 27894 d,5019.54244,43.8214
HD 27969 b,654.5,67.9328
HD 28109 b,22.89104,139.611
HD 28109 c,56.00819,139.611
HD 28109 d,84.25999,139.611
HD 28185 b,385.52775,39.3809
HD 28185 c,17417.92079,39.3809
HD 28192 b,14.23283,49.8063
HD 28254 b,1333,55.2884
HD 284149 AB b,,117.807
HD 285507 b,6.0881,45.0293
HD 285968 b,8.7836,9.47045
HD 28678 b,380.2,189.908
HD 29021 b,1362.3,30.9939
HD 290327 b,2443,56.433
HD 29399 b,892.7,44.1518
HD 2952 b,312.08,110.103
HD 29985 b,20608.14049,31.2707
HD 30177 b,2514.53422,55.5867
HD 30177 c,12085.45186,55.5867
HD 30562 b,1157,26.1597
HD 30669 b,1684,58.0844
HD 30856 b,847,131.199
HD 31253 b,466,58.1438
HD 31527 b,16.5535,38.4473
HD 31527 c,51.2053,38.4473
HD 31527 d,271.6737,38.4473
HD 3167 b,0.959641,47.2899
HD 3167 c,29.8454,47.2899
HD 3167 d,8.4112,47.2899
HD 3167 e,96.63,47.2899
HD 32518 b,157.35,122.115
HD 32963 b,2372,38.0786
HD 330075 b,3.38773,45.2989
HD 331093 b,621.62,50.1928
HD 33142 b,330,121.375
HD 33142 c,810.2,121.375
HD 33142 d,89.9,121.375
HD 332231 b,18.712024,80.6665
HD 33283 b,18.1991,89.8623
HD 33564 b,388,20.9531
HD 33844 b,551.40002,105.779
HD 33844 c,916,105.779
HD 34445 b,1049,46.0907
HD 34445 c,214.67,46.0907
HD 34445 d,117.87,46.0907
HD 34445 e,49.175,46.0907
HD 34445 f,676.8,46.0907
HD 34445 g,5700,46.0907
HD 35759 b,82.467,71.2423
HD 360 b,273.1,111.542
HD 36384 b,490,209.309
HD 3651 b,62.25,11.1336
HD 37124 b,154.378,31.6634
HD 37124 c,885.5,31.6634
HD 37124 d,1862,31.6634
HD 37605 b,55.01292,46.7864
HD 37605 c,2720,46.7864
HD 3765 b,1211,17.926
HD 38283 b,363.20001,38.0615
HD 38529 b,14.3099,42.3538
HD 38529 c,2127.60566,42.3538
HD 38801 b,685.25,91.4349
HD 39091 b,2088.75851,18.2702
HD 39194 b,5.6368,26.4131
HD 39194 c,14.03,26.4131
HD 39194 d,33.91,26.4131
HD 39855 b,3.2498,23.2599
HD 40307 b,4.3123,12.9363
HD 40307 c,9.6184,12.9363
HD 40307 d,20.432,12.9363
HD 40307 f,51.76,12.9363
HD 40307 g,197.8,12.9363
HD 40956 b,578.6,116.593
HD 40979 b,264.14999,34.0883
HD 41004 A b,963,36.69117
HD 41004 B b,1.3283,41.5504
HD 4113 b,526.5239,41.8727
HD 42012 b,857.5,36.7984
HD 4203 b,431.88,81.3795
HD 4203 c,6700,81.3795
HD 4208 b,832.97,34.1937
HD 42618 b,149.61,24.3358
HD 42813 b,13.6308205,68.192
HD 4308 b,15.56,22.0158
HD 4313 b,356.21,136.308
HD 43197 b,308.92072,62.4112
HD 43197 c,9295.9735,62.4112
HD 43691 b,36.9987,85.6009
HD 44219 b,472,52.9051
HD 45184 b,5.8854,21.9532
HD 45184 c,13.1354,21.9532
HD 45350 b,963.6,46.8733
HD 45364 b,225.79,34.354
HD 45364 c,345.43,34.354
HD 45652 b,44.073,34.8541
HD 457 b,20324.58153,55.0375
HD 46375 b,3.023573,29.5529
HD 47186 b,4.0845,37.4574
HD 47186 c,1353.6,37.4574
HD 4732 b,371.74,54.7841
HD 4732 c,3184.2,54.7841
HD 47366 b,360.08,84.3552
HD 47366 c,677.53,84.3552
HD 47536 b,712.13,122.536
HD 4760 b,434,537.873
HD 48265 b,778.51,90.5446
HD 48948 b,7.34013,16.9043
HD 48948 c,38.06,16.9043
HD 48948 d,151.92,16.9043
HD 4917 b,400.5,204.277
HD 49674 b,4.94737,43.0399
HD 50499 b,2447.1,46.2845
HD 50499 c,8619.9,46.2845
HD 50554 b,1293,31.1664
HD 51608 b,14.0726,35.0553
HD 51608 c,95.9446,35.0553
HD 52265 b,119.27,29.9803
HD 5278 b,14.339156,57.5846
HD 5278 c,40.87,57.5846
HD 5319 b,637.1,121.405
HD 5319 c,872.2,121.405
HD 55696 b,1827,77.9693
HD 5583 b,139.35,219.216
HD 5608 b,768.7,58.1105
HD 564 b,492.3,51.1659
HD 56414 b,29.04992,272.217
HD 56957 b,5859.08992,61.4925
HD 5891 b,177.11,283.502
HD 59686 A b,299.36,89.2721
HD 60292 b,495.4,315.211
HD 60532 b,201.9,25.9716
HD 60532 c,600.1,25.9716
HD 6061 b,5.2549,67.6203
HD 62364 b,5138,53.112
HD 62364 c,74839.94555,53.112
HD 62509 b,589.64,10.34
HD 62549 b,14306.88519,49.3305
HD 63433 b,7.1079384,22.4035
HD 63433 c,20.543847,22.4035
HD 63433 d,4.209075,22.4035
HD 63454 b,2.81805,37.6894
HD 63765 b,358,32.5376
HD 63935 b,9.058807,48.9739
HD 63935 c,21.4027,48.9739
HD 64114 b,45.791,31.5262
HD 64121 b,623,129.966
HD 6434 b,21.998,42.358
HD 65216 b,577.6,35.1205
HD 65216 c,5370,35.1205
HD 66141 b,480.5,68.1509
HD 66428 b,2269.81726,53.2817
HD 66428 c,10478.84437,53.2817
HD 67087 b,352.2,76.5217
HD 67087 c,2374,76.5217
HD 6718 b,2496,51.3444
HD 68402 b,1103,78.4293
HD 6860 b,663.87,61.12469
HD 68988 b,6.27711,60.8447
HD 68988 c,16000,60.8447
HD 69123 b,1193.3,75.116
HD 69830 b,8.667,12.5591
HD 69830 c,31.56,12.5591
HD 69830 d,197,12.5591
HD 70573 b,851.8,59.182
HD 70642 b,2124.54,29.276
HD 7199 b,615,36.1531
HD 72490 b,858,126.339
HD 72659 b,3549.39854,51.8949
HD 72659 c,18207.72098,51.8949
HD 72892 b,39.44603,69.7311
HD 73256 c,2690,36.708
HD 73267 b,1257.99159,50.4093
HD 73267 c,17071.78045,50.4093
HD 73344 b,15.611,35.26
HD 73526 b,188.3,97.2396
HD 73526 c,379.1,97.2396
HD 73534 b,1750,83.3321
HD 73583 b,6.398042,31.5666
HD 73583 c,18.87974,31.5666
HD 74156 b,51.63564,57.603
HD 74156 c,2448.48726,57.603
HD 7449 b,1270.55195,38.662
HD 74698 b,15.017,52.0648
HD 74698 c,3449,52.0648
HD 75289 b,3.50927,29.1158
HD 75302 b,4356,30.3288
HD 75784 b,341.2,85.4321
HD 75784 c,7900,85.4321
HD 75898 b,422.82,78.0505
HD 75898 c,6717,78.0505
HD 76700 b,3.97097,60.8831
HD 76920 b,415.891,184.031
HD 77338 b,5.7361,45.935
HD 77946 b,6.527363,99.451
HD 79181 b,273.1,103.335
HD 7924 b,5.39792,16.9922
HD 7924 c,15.299,16.9922
HD 7924 d,24.451,16.9922
HD 79498 b,1807,48.9489
HD 80606 b,111.4367,66.4711
HD 80653 b,0.719573,109.86
HD 80869 b,1752.92067,85.3951
HD 80883 b,6383.78352,34.6011
HD 80913 b,10839.83341,61.3603
HD 81040 b,1004.7,34.4341
HD 81688 b,183.93,85.7183
HD 81817 b,1021.20159,269.126
HD 81817 c,622.97802,269.126
HD 82886 b,705,127.061
HD 82943 b,441.47,27.5902
HD 82943 c,220.078,27.5902
HD 8326 b,158.991,30.6862
HD 83443 b,2.985628,40.8991
HD 83443 c,8241,40.8991
HD 8535 b,1313,55.4401
HD 85390 b,799.52,33.5225
HD 8574 b,227,44.8264
HD 86065 b,25775.78859,40.3661
HD 86081 b,2.1378431,103.936
HD 86226 b,1628,45.683
HD 86226 c,3.98442,45.683
HD 86264 b,1488.79123,67.8107
HD 8673 b,1644.69097,37.8619
HD 86950 b,1270,209.839
HD 87646 b,13.481,73.58352
HD 87883 b,3309.22118,18.2912
HD 88072 b,18538.79293,35.9098
HD 88133 b,3.414884,73.6123
HD 88986 b,146.05,33.2673
HD 89307 b,2166,32.0104
HD 89345 b,11.8143,132.345
HD 89744 b,256.78,38.6364
HD 89839 b,3441,57.3063
HD 90156 b,49.77,21.9496
HD 9174 b,1179,81.4893
HD 92788 b,325.803,34.6538
HD 92788 c,11611.2975,34.6538
HD 93083 b,143.58,28.5159
HD 93351 b,2.45946,56.163
HD 93351 c,14010.2941,56.163
HD 93385 b,7.3426,43.3475
HD 93385 c,13.18,43.3475
HD 93385 d,45.85,43.3475
HD 93963 A b,1.0376109,82.3432
HD 93963 A c,3.6451389,82.3432
HD 9446 b,30.052,50.3503
HD 9446 c,192.9,50.3503
HD 94771 b,2164,57.7807
HD 94834 b,1576,98.1609
HD 95086 b,,86.2279
HD 95089 b,464.4,136.957
HD 95089 c,1785,136.957
HD 95127 b,482,676.579
HD 95338 b,55.087,36.9941
HD 95544 b,2041.54152,87.8049
HD 95735 c,2946,5.675773
HD 95872 b,4375,72.2195
HD 96063 b,362.5,140.065
HD 96127 b,647.29999,587.659
HD 96167 b,498.04,85.3006
HD 96700 b,8.1245,25.4111
HD 96700 c,19.88,25.4111
HD 96700 d,103.5,25.4111
HD 96992 b,514,396.082
HD 97037 b,6449.08337,32.413
HD 97048 b,,183.857
HD 97658 b,9.4897116,21.5618
HD 98219 b,433.8,113.704
HD 98649 b,5697.3043,42.1727
HD 98736 b,968.8,32.4459
HD 99109 b,439.29999,54.7901
HD 99283 b,310.4,111.093
HD 99492 b,17.0503,18.2038
HD 99492 c,95.233,18.2038
HD 99706 b,841,146.6
HD 99706 c,1278,146.6
HIP 105854 b,184.2,78.6381
HIP 107772 b,55.199,23.6434
HIP 107773 b,144.3,105.18
HIP 109384 b,499.48,58.9582
HIP 109600 b,232.08,66.3361
HIP 113103 b,7.610303,46.2122
HIP 113103 c,14.245648,46.2122
HIP 114933 b,1481.6,101.766
HIP 116454 b,9.1004157,62.4491
HIP 12961 b,57.435,23.371
HIP 14810 b,6.673892,50.48
HIP 14810 c,147.747,50.48
HIP 14810 d,981.8,50.48
HIP 19976 b,50.65905,40.2707
HIP 21152 b,22000,43.4073
HIP 29442 c,3.5379559,68.192
HIP 29442 d,6.429575,68.192
HIP 34222 b,159.986,22.8386
HIP 35173 b,41.516,33.1562
HIP 35965 b,26125.56497,50.1677
HIP 38594 b,60.722,17.7886
HIP 38594 c,3477.768,17.7886
HIP 39017 b,31000,66.3217
HIP 41378 b,15.572098,106.289
HIP 41378 c,31.70648,106.289
HIP 41378 d,1114,106.289
HIP 41378 e,131,106.289
HIP 41378 f,1084,106.289
HIP 4845 b,34.15,21.0974
HIP 48714 b,17.818,10.5298
HIP 5158 b,345.72,51.6026
HIP 5158 c,9017.76,51.6026
HIP 54373 b,7.76,18.7168
HIP 54373 c,15.144,18.7168
HIP 54597 b,3274,39.7429
HIP 55507 b,5138.43727,25.4893
HIP 56640 b,2675.57603,122.324
HIP 57274 b,8.1352,25.8618
HIP 57274 c,32.03,25.8618
HIP 57274 d,431.7,25.8618
HIP 5763 b,30.014,31.9043
HIP 63242 b,124.6,156.456
HIP 65 A b,0.9809734,61.7856
HIP 65407 b,28.125,61.7804
HIP 65407 c,67.3,61.7804
HIP 65426 b,,108.875
HIP 65891 b,1079.55726,150.292
HIP 66074 b,310.9,35.4438
HIP 67522 b,6.9594731,127.28
HIP 67522 c,14.334892,127.28
HIP 67537 b,2523.64713,116.046
HIP 67851 b,88.87622,64.1181
HIP 67851 c,3923.6609,64.1181
HIP 70849 b,3649,24.0572
HIP 71135 b,87.19,32.3311
HIP 74890 b,822.3,78.6562
HIP 75092 b,926.4,81.6696
HIP 77900 b,,150.862
HIP 78530 b,,136.759
HIP 79098 AB b,,145.798
HIP 79431 b,111.7,14.5324
HIP 81208 C b,104100,147.533
HIP 8152 b,10.751014,101.694
HIP 8152 c,19.60562,101.694
HIP 8541 b,1852.14387,155.121
HIP 86221 b,2.224,29.4898
HIP 90988 b,455.73816,94.0349
HIP 91258 b,5.0505,45.8846
HIP 94235 b,7.713057,58.5146
HIP 948 b,24955.45756,34.8523
HIP 9618 b,20.772858,67.5478
HIP 9618 c,52.56363,67.5478
HIP 97166 b,10.288914,65.9501
HIP 97166 c,16.432,65.9501
HIP 97233 b,1062.26506,102.275
HIP 99770 b,18600,40.0765
HN Lib b,36.116,6.24442
HN Peg b,,18.1186
HR 2562 b,,34.0071
HR 5183 b,27000,31.4607
HR 810 b,302.79999,17.3181
HR 858 b,3.58599,31.964
HR 858 c,5.97293,31.964
HR 858 d,11.23,31.964
HR 8799 b,170000,41.2441
HR 8799 c,69000,41.2441
HR 8799 d,37000,41.2441
HR 8799 e,20815.6,41.2441
HS Psc b,3.986,37.6604
HU Aqr AB b,2390,192.1980787
HU Aqr AB c,4368,192.1980787
IC 4651 9122 b,734,859.324
ITG 15 b,,136.37
K2-10 b,19.3044,272.36
K2-100 b,1.6739035,188.959
K2-101 b,14.6762429,188.33
K2-102 b,9.915615,188.175
K2-104 b,1.9741954,189.289
K2-105 b,8.2669928,197.989
K2-107 b,3.313959,685.2
K2-108 b,4.733999,477.295
K2-11 b,39.93767,329.309
K2-110 b,13.86375,116.474
K2-111 b,5.3518,200.394
K2-111 c,15.6805,200.394
K2-113 b,5.817685,635.722
K2-114 b,11.3909311,475.758
K2-115 b,20.272615,413.591
K2-116 b,4.655411,49.3855
K2-117 b,1.2916,101.632
K2-117 c,5.444017,101.632
K2-118 b,50.92092,321.722
K2-119 b,7.727283,365.581
K2-12 b,8.28246,326.381
K2-120 b,9.562742,289.543874
K2-121 b,5.1857539,169.398
K2-122 b,2.2193023,72.0444
K2-123 b,30.951524,161.555
K2-124 b,6.413651,140.385
K2-125 b,21.750264,124.156
K2-126 b,7.385655,102.953
K2-127 b,3.588163,709.999
K2-128 b,5.675819,114.637
K2-129 b,8.239493,27.7957
K2-13 b,39.91488,342.394
K2-130 b,2.49412,118.011
K2-131 b,0.3693038,152.509
K2-132 b,9.1751,609.818
K2-133 b,3.07133,75.1703
K2-133 c,4.86784,75.1703
K2-133 d,11.02454,75.1703
K2-133 e,26.5841,75.1703
K2-136 b,7.9752,59.2474
K2-136 c,17.30713,59.2474
K2-136 d,25.575,59.2474
K2-137 b,0.179719,98.8765
K2-138 b,2.35309,202.585
K2-138 c,3.56004,202.585
K2-138 d,5.40479,202.585
K2-138 e,8.26146,202.585
K2-138 f,12.75758,202.585
K2-138 g,41.96797,202.585
K2-139 b,28.380619,153.856
K2-14 b,8.36802,364.048
K2-140 b,6.569188,347.917
K2-141 b,0.2803244,61.8736
K2-141 c,7.7485,61.8736
K2-146 b,2.6446,79.3002
K2-146 c,4.00498,79.3002
K2-147 b,0.961918,90.5494
K2-148 b,4.38395,124.458
K2-148 c,6.9226,124.458
K2-148 d,9.7579,124.458
K2-149 b,11.332,123.676
K2-15 b,11.8104,493.992
K2-150 b,10.59357,102.483
K2-151 b,3.835476,69.4798
K2-152 b,32.6479,108.449
K2-153 b,7.51574,143.125
K2-154 b,3.67626,129.356
K2-154 c,7.95486,129.356
K2-155 b,6.342,72.7998
K2-155 c,13.85,72.7998
K2-155 d,40.718,72.7998
K2-156 b,0.813143,150.21
K2-157 b,0.365261,298.373
K2-158 b,10.06049,197.299
K2-158 c,5.90279,197.299
K2-159 b,12.42205,170.998
K2-16 b,7.6188,334.967
K2-16 c,19.07863,334.967
K2-160 b,3.705871,315.363
K2-161 b,9.283188,916.319
K2-162 b,9.45889,124.433
K2-163 b,6.673117,208.529
K2-164 b,17.355066,375.67
K2-165 b,2.354992,134.591
K2-165 c,4.382745,134.591
K2-165 d,14.101361,134.591
K2-166 b,8.52695,476.882
K2-167 b,9.97748,80.8994
K2-168 b,15.8523,243.935
K2-169 b,6.380803,235.867
K2-17 b,17.96753,125.106
K2-170 b,7.576544,392.872
K2-170 c,12.400047,392.872
K2-171 b,5.628466,606.128
K2-172 b,14.316941,249.742
K2-172 c,29.62682,249.742
K2-173 b,5.868699,228.641
K2-174 b,19.562307,99.9293
K2-175 b,9.525988,247.266
K2-176 b,5.329439,247.302
K2-177 b,14.155185,492.167
K2-178 b,8.747818,214.753
K2-179 b,5.172191,190.81
K2-18 b,32.939623,38.0266
K2-18 c,8.962,38.0266
K2-180 b,8.8656511,203.896
K2-181 b,6.894256,360.911
K2-182 b,4.7369683,154.83
K2-183 b,0.469285,329.041
K2-183 c,10.787992,329.041
K2-183 d,22.620344,329.041
K2-184 b,16.9780102,75.5857
K2-185 b,10.616384,268.357
K2-185 c,52.713494,268.357
K2-186 b,41.474219,330.739
K2-187 b,0.77401,330.916
K2-187 c,2.871512,330.916
K2-187 d,7.149584,330.916
K2-187 e,13.606629,330.916
K2-188 b,1.742169,446.821
K2-188 c,7.810253,446.821
K2-189 b,2.588309,242.113
K2-189 c,6.679195,242.113
K2-19 b,7.9222,289.827
K2-19 c,11.8993,289.827
K2-19 d,2.5081,289.827
K2-190 b,10.098858,160.679
K2-190 c,21.574023,160.679
K2-191 b,2.858646,287.188
K2-192 b,4.162817,221.753
K2-193 b,14.786889,411.923
K2-194 b,39.721386,629.51
K2-195 b,15.852975,315.014
K2-195 c,28.482786,315.014
K2-196 b,48.324222,584.877
K2-197 b,8.357881,247.637
K2-198 b,17.0428683,110.567
K2-198 c,3.3596055,110.567
K2-198 d,7.4500177,110.567
K2-199 b,3.2253993,107.518
K2-199 c,7.3744897,107.518
K2-200 b,2.849883,184.131
K2-201 b,1.05979,197.932
K2-201 c,22.779878,197.932
K2-2016-BLG-0005L b,4700,5200
K2-202 b,3.405164,300.397
K2-203 b,9.695101,166.147
K2-204 b,7.055784,577.235
K2-205 b,26.672263,405.301
K2-206 b,18.294549,244.443
K2-207 b,12.48749,363.064
K2-208 b,4.190948,256.887
K2-209 b,2.080615,76.4986
K2-21 b,9.325038,83.6448
K2-21 c,15.50192,83.6448
K2-210 b,0.57023,176.51
K2-211 b,0.669532,272.297
K2-212 b,9.795647,109.218
K2-213 b,8.13087,389.702
K2-214 b,8.596802,300.64
K2-215 b,8.269648,403.964
K2-216 b,2.1748,115.461
K2-217 b,14.074524,381.878
K2-218 b,8.679885,394.083
K2-219 b,3.901287,325.4
K2-219 c,6.66767,325.4
K2-219 d,11.137278,325.4
K2-22 b,0.381073,243.836
K2-220 b,13.683256,233.514
K2-221 b,2.399094,318.81
K2-222 b,15.38857,101.321
K2-223 b,0.50557,198.604
K2-223 c,4.562546,198.604
K2-224 b,4.47904,275.255
K2-224 c,10.09489,275.255
K2-225 b,15.87209,357.778
K2-226 b,3.27108,211.265
K2-227 b,13.621832,187.234
K2-228 b,2.69828,129.46
K2-229 b,0.584216,102.564
K2-229 c,8.32727,102.564
K2-230 b,2.86041,540.773
K2-231 b,13.841901,321.215
K2-232 b,11.168454,130.72
K2-233 b,2.4675,67.5062
K2-233 c,7.06005,67.5062
K2-233 d,24.3645,67.5062
K2-237 b,2.18053539,314.995
K2-238 b,3.20466,537.963
K2-239 b,5.24,31.0849
K2-239 c,7.775,31.0849
K2-239 d,10.115,31.0849
K2-24 b,20.88977,170.562
K2-24 c,42.3391,170.562
K2-240 b,6.034,72.9105
K2-240 c,20.523,72.9105
K2-241 b,26.8199,149.464
K2-242 b,6.51389,109.237
K2-243 b,11.54182,266.864
K2-243 c,24.94598,266.864
K2-244 b,21.06884,212.902
K2-245 b,11.89307,456.064
K2-246 b,5.76918,703.616
K2-247 b,2.25021,258.113
K2-247 c,6.49424,258.113
K2-248 b,7.17256,406.254
K2-249 b,12.409,521.716
K2-25 b,3.48456408,44.9565
K2-250 b,4.01457,414.708
K2-251 b,9.30075,147.03
K2-252 b,13.81513,228.839
K2-253 b,4.00167,876.565
K2-254 b,4.09639,227.775
K2-254 c,12.11839,227.775
K2-255 b,1.96417,191.608
K2-257 b,1.60588,64.0065
K2-258 b,19.0921,661.873
K2-259 b,15.48043,416.457
K2-26 b,14.5665,99.0504
K2-260 b,2.6266657,663.834
K2-261 b,11.633478,213.283
K2-263 b,50.818947,162.481
K2-264 b,5.840002,185.605
K2-264 c,19.660302,185.605
K2-265 b,2.369172,138.671
K2-266 b,0.658524,77.5586
K2-266 c,7.814,77.5586
K2-266 d,14.697,77.5586
K2-266 e,19.482,77.5586
K2-268 b,2.151676,327.783
K2-268 c,9.327527,327.783
K2-268 d,4.528598,327.783
K2-268 e,6.131243,327.783
K2-268 f,26.27057,327.783
K2-269 b,4.144965,360.76
K2-27 b,6.771315,249.645
K2-270 b,1.543069,280.518
K2-270 c,4.400028,280.518
K2-271 b,8.562421,564.454
K2-272 b,14.4536756,423.065
K2-273 b,11.7195663,308.105
K2-274 b,14.1330314,228.327
K2-275 b,3.2809626,123.438
K2-275 c,8.4388385,123.438
K2-276 b,18.718269,488.152
K2-277 b,6.326763,113.123
K2-278 b,3.334966,786.439
K2-279 b,7.122605,182.983
K2-28 b,2.260455,62.9969
K2-280 b,19.89526,391.537
K2-281 b,8.687721,458.139
